id,CategoryKey,DisplayName,InternalName,BaseItem,Variant,QualityTier,PrimaryConsumer,Trade,Unit,MarketValue_cp,MaterialCost_cp,LaborCost_cp,Overhead_cp,EfficiencyFactor_MC,EfficiencyFactor_LC,WasteRecovery_pct,MC_eff,LC_eff,Duty,DutyPct,DutyFree,EffectiveTaxPct,TaxAmount_cp,NetProfit_cp,Regions,Tags,ImportReliant,ImportTier,ExportFriendly,SourcingNotes,Margin_pct,DisplayPrice,DisplayPrice_Tidy,SuggestedPrice_cp,SuggestedDisplayPrice,Perishable,Bulky,Fragile,ValueDense,CorridorFriendly,RegionalMult_InRegion,RegionalMult_OutOfRegion,Preview_InRegion_cp,Preview_OutOfRegion_cp,Preview_InRegion_Display,Preview_OutOfRegion_Display
67,Clothing,Tailored Shirt & Trousers,Shirt & trousers (linen) (Tailored),Shirt & trousers (linen),Tailored,Fine,Noble,,set,25.811,10.08,8.82,1.26,0.1,0.1,0.02,8.87,7.938,No,0,No,0.15,3.872,3.871,urban,,No,0,No,,0.149974817,25cp 8st 1ci,25cp 8st 1ci,25.8,25cp 8st,No,No,No,No,No,1,1,25.811,25.811,25cp 8st 1ci,25cp 8st 1ci
68,Clothing,Courtly Shirt & Trousers,Shirt & trousers (linen) (Courtly),Shirt & trousers (linen),Courtly,Luxury,Noble,,set,51.624,14.4,12.6,1.8,0.1,0.1,0.02,12.672,11.34,No,0,No,0.35,18.068,7.744,urban,,No,0,No,,0.150007748,51cp 6st 2ci,51cp 6st 2ci,51.6,51cp 6st,No,No,No,No,No,1,1,51.624,51.624,51cp 6st 2ci,51cp 6st 2ci
69,Clothing,"Coarse Cloak, Wool","Cloak, wool (Coarse)","Cloak, wool",Coarse,Common,Commoner,,each,34,13.6,11.9,1.7,0.1,0.1,0.02,11.968,10.71,No,0,No,0.05,1.7,7.922,urban,,No,0,No,,0.233,34cp,34cp,34,34cp,No,No,No,No,No,1,1,34,34,34cp,34cp
70,Clothing,"Standard Cloak, Wool","Cloak, wool (Standard)","Cloak, wool",Standard,Common,Artisan,,each,40,16,14,2,0.1,0.1,0.02,14.08,12.6,No,0,No,0.06,2.4,8.92,urban,,No,0,No,,0.223,40cp,40cp,40,40cp,No,No,No,No,No,1,1,40,40,40cp,40cp
71,Clothing,"Tailored Cloak, Wool","Cloak, wool (Tailored)","Cloak, wool",Tailored,Fine,Noble,,each,57.36,22.4,19.6,2.8,0.1,0.1,0.02,19.712,17.64,No,0,No,0.15,8.604,8.604,urban,,No,0,No,,0.15,57cp 3st 6ci,57cp 3st 6ci,57.4,57cp 4st,No,No,No,No,No,1,1,57.36,57.36,57cp 3st 6ci,57cp 3st 6ci
72,Clothing,"Courtly Cloak, Wool","Cloak, wool (Courtly)","Cloak, wool",Courtly,Luxury,Noble,,each,114.72,32,28,4,0.1,0.1,0.02,28.16,25.2,No,0,No,0.35,40.152,17.208,urban,,No,0,No,,0.15,1si 14cp 7st 2ci,1si 14cp 7st,115,1si 15cp,No,No,No,No,No,1,1,114.72,114.72,1si 14cp 7st,1si 14cp 7st
73,Clothing,"Coarse Boots, Leather","Boots, leather (pair) (Coarse)","Boots, leather (pair)",Coarse,Common,Commoner,,pair,34,13.6,11.9,1.7,0.1,0.1,0.02,11.968,10.71,No,0,No,0.05,1.7,7.922,urban,,No,0,No,,0.233,34cp,34cp,34,34cp,No,No,No,No,No,1,1,34,34,34cp,34cp
74,Clothing,"Standard Boots, Leather","Boots, leather (pair) (Standard)","Boots, leather (pair)",Standard,Common,Artisan,,pair,40,16,14,2,0.1,0.1,0.02,14.08,12.6,No,0,No,0.06,2.4,8.92,urban,,No,0,No,,0.223,40cp,40cp,40,40cp,No,No,No,No,No,1,1,40,40,40cp,40cp
75,Clothing,"Tailored Boots, Leather","Boots, leather (pair) (Tailored)","Boots, leather (pair)",Tailored,Fine,Noble,,pair,57.36,22.4,19.6,2.8,0.1,0.1,0.02,19.712,17.64,No,0,No,0.15,8.604,8.604,urban,,No,0,No,,0.15,57cp 3st 6ci,57cp 3st 6ci,57.4,57cp 4st,No,No,No,No,No,1,1,57.36,57.36,57cp 3st 6ci,57cp 3st 6ci
76,Clothing,"Courtly Boots, Leather","Boots, leather (pair) (Courtly)","Boots, leather (pair)",Courtly,Luxury,Noble,,pair,114.72,32,28,4,0.1,0.1,0.02,28.16,25.2,No,0,No,0.35,40.152,17.208,urban,,No,0,No,,0.15,1si 14cp 7st 2ci,1si 14cp 7st,115,1si 15cp,No,No,No,No,No,1,1,114.72,114.72,1si 14cp 7st,1si 14cp 7st
77,Accessories,"Simple Brooch, Bronze","Brooch, bronze (Simple)","Brooch, bronze",Simple,Common,Commoner,,each,72,32.4,25.2,4.32,0.1,0.1,0.02,28.512,22.68,No,0,No,0.05,3.6,12.888,urban,,No,0,No,,0.179,72cp,72cp,72,72cp,No,No,No,Yes,No,1,0.95,72,68.4,72cp,68cp 4st
78,Accessories,"Standard Brooch, Bronze","Brooch, bronze (Standard)","Brooch, bronze",Standard,Common,Artisan,,each,80,36,28,4.8,0.1,0.1,0.02,31.68,25.2,No,0,No,0.06,4.8,13.52,urban,,No,0,No,,0.169,80cp,80cp,80,80cp,No,No,No,Yes,No,1,0.95,80,76,80cp,76cp
79,Accessories,"Fine Brooch, Bronze","Brooch, bronze (Fine)","Brooch, bronze",Fine,Fine,Noble,,each,123.36,50.4,39.2,6.72,0.1,0.1,0.02,44.352,35.28,No,0,No,0.15,18.504,18.504,urban,,No,0,No,,0.15,1si 23cp 3st 6ci,1si 23cp 3st,123,1si 23cp,No,No,No,Yes,No,1,0.95,123.36,117.192,1si 23cp 3st,1si 17cp 1st
80,Accessories,"Ornate Brooch, Bronze","Brooch, bronze (Ornate)","Brooch, bronze",Ornate,Luxury,Noble,,each,271.392,79.2,61.6,10.56,0.1,0.1,0.02,69.696,55.44,No,0,No,0.35,94.987,40.709,urban,,No,0,No,,0.150000737,2si 71cp 3st 9ci,2si 71cp 3st,271,2si 71cp,No,No,No,Yes,No,1,0.95,271.392,257.822,2si 71cp 3st,2si 57cp 8st
81,Accessories,"Simple Pendant, Silver","Pendant, silver (Simple)","Pendant, silver",Simple,Common,Commoner,,each,360,162,126,21.6,0.1,0.1,0.02,142.56,113.4,No,0,No,0.05,18,64.44,urban,,No,0,No,,0.179,3si 60cp,3si 60cp,360,3si 60cp,No,No,No,Yes,No,1,0.95,360,342,3si 60cp,3si 42cp
82,Accessories,"Standard Pendant, Silver","Pendant, silver (Standard)","Pendant, silver",Standard,Common,Artisan,,each,400,180,140,24,0.1,0.1,0.02,158.4,126,No,0,No,0.06,24,67.6,urban,,No,0,No,,0.169,4si,4si,400,4si,No,No,No,Yes,No,1,0.95,400,380,4si,3si 80cp
83,Accessories,"Fine Pendant, Silver","Pendant, silver (Fine)","Pendant, silver",Fine,Fine,Noble,,each,616.8,252,196,33.6,0.1,0.1,0.02,221.76,176.4,No,0,No,0.15,92.52,92.52,urban,,No,0,No,,0.15,6si 16cp 8st,6si 16cp 8st,617,6si 17cp,No,No,No,Yes,No,1,0.95,616.8,585.96,6si 16cp 8st,5si 85cp 9st
84,Accessories,"Ornate Pendant, Silver","Pendant, silver (Ornate)","Pendant, silver",Ornate,Luxury,Noble,,each,1356.96,396,308,52.8,0.1,0.1,0.02,348.48,277.2,No,0,No,0.35,474.936,203.544,urban,,No,0,No,,0.15,13si 56cp 9st 6ci,13si 56cp 9st,1357,13si 57cp,No,No,No,Yes,No,1,0.95,1356.96,1289.112,13si 56cp 9st,12si 89cp 1st
85,Seafood,"Low Inn Fish, cod","Fish, cod (whole) (Low Inn)","Fish, cod (whole)",Low Inn,Staple,Commoner,,each,15.679,7.2,5.4,0.72,0.1,0.1,0.02,6.336,4.86,No,0,No,0.04,0.627,3.136,coastal;riverlands;lake,,No,0,Yes,,0.200012756,15cp 6st 8ci,15cp 6st 8ci,15.7,15cp 7st,Yes,No,No,No,Yes,0.95,1.03,14.895,16.149,14cp 9st,16cp 1st 5ci
86,Seafood,"Common Fish, cod","Fish, cod (whole) (Common)","Fish, cod (whole)",Common,Common,Commoner,,each,17.653,8,6,0.8,0.1,0.1,0.02,7.04,5.4,No,0,No,0.05,0.883,3.53,coastal;riverlands;lake,,No,0,Yes,,0.199966011,17cp 6st 5ci,17cp 6st 5ci,17.7,17cp 7st,Yes,No,No,No,Yes,0.95,1.03,16.77,18.183,16cp 7st 7ci,18cp 1st 8ci
87,Seafood,"Fine Fish, cod","Fish, cod (whole) (Fine)","Fish, cod (whole)",Fine,Fine,Artisan,,each,24.825,10.8,8.1,1.08,0.1,0.1,0.02,9.504,7.29,No,0,No,0.08,1.986,4.965,coastal;riverlands;lake,,No,0,Yes,,0.2,24cp 8st 2ci,24cp 8st 2ci,24.8,24cp 8st,Yes,No,No,No,Yes,0.95,1.03,23.584,25.57,23cp 5st 8ci,25cp 5st 7ci
88,Seafood,"High Table Fish, cod","Fish, cod (whole) (High Table)","Fish, cod (whole)",High Table,Luxury,Noble,,each,41.927,15.2,11.4,1.52,0.1,0.1,0.02,13.376,10.26,No,0,No,0.35,14.674,2.097,coastal;riverlands;lake,,No,0,Yes,,0.050015503,41cp 9st 3ci,41cp 9st 3ci,41.9,41cp 9st,Yes,Yes,No,No,Yes,0.94,1.07,39.411,44.862,39cp 4st 1ci,44cp 8st 6ci
89,Seafood,Low Inn Oysters,Oysters (dozen) (Low Inn),Oysters (dozen),Low Inn,Staple,Commoner,,dozen,54,21.6,16.2,2.16,0.1,0.1,0.02,19.008,14.58,No,0,No,0.04,2.16,16.092,coastal,,Yes,2,Yes,Coastal-only fishery,0.298,54cp,54cp,54,54cp,Yes,No,No,No,Yes,0.95,1.17,51.3,63.18,51cp 3st,63cp 1st 8ci
90,Seafood,Common Oysters,Oysters (dozen) (Common),Oysters (dozen),Common,Common,Commoner,,dozen,60,24,18,2.4,0.1,0.1,0.02,21.12,16.2,No,0,No,0.05,3,17.28,coastal,,Yes,2,Yes,Coastal-only fishery,0.288,60cp,60cp,60,60cp,Yes,No,No,No,Yes,0.95,1.17,57,70.2,57cp,70cp 2st
91,Seafood,Fine Oysters,Oysters (dozen) (Fine),Oysters (dozen),Fine,Fine,Artisan,,dozen,81,32.4,24.3,3.24,0.1,0.1,0.02,28.512,21.87,No,0,No,0.08,6.48,20.898,coastal,,Yes,2,Yes,Coastal-only fishery,0.258,81cp,81cp,81,81cp,Yes,No,No,No,Yes,0.95,1.17,76.95,94.77,76cp 9st 5ci,94cp 7st 7ci
92,Seafood,High Table Oysters,Oysters (dozen) (High Table),Oysters (dozen),High Table,Luxury,Noble,,dozen,125.78,45.6,34.2,4.56,0.1,0.1,0.02,40.128,30.78,No,0,No,0.35,44.023,6.289,coastal,,Yes,2,Yes,Coastal-only fishery,0.05,1si 25cp 7st 8ci,1si 25cp 7st,126,1si 26cp,Yes,Yes,No,No,Yes,0.94,1.21,118.233,152.194,1si 18cp 2st,1si 52cp 1st
93,Seafood,Low Inn Smoked herring,Smoked herring (1 lb) (Low Inn),Smoked herring (1 lb),Low Inn,Staple,Commoner,,lb,31.358,14.4,10.8,1.44,0.1,0.1,0.02,12.672,9.72,No,0,No,0.04,1.254,6.272,coastal;riverlands;lake,,No,0,Yes,,0.200012756,31cp 3st 6ci,31cp 3st 6ci,31.4,31cp 4st,No,No,No,Yes,Yes,0.97,0.92,30.417,28.849,30cp 4st 2ci,28cp 8st 5ci
94,Seafood,Common Smoked herring,Smoked herring (1 lb) (Common),Smoked herring (1 lb),Common,Common,Commoner,,lb,35.307,16,12,1.6,0.1,0.1,0.02,14.08,10.8,No,0,No,0.05,1.765,7.062,coastal;riverlands;lake,,No,0,Yes,,0.200016994,35cp 3st 1ci,35cp 3st 1ci,35.3,35cp 3st,No,No,No,Yes,Yes,0.97,0.92,34.248,32.482,34cp 2st 5ci,32cp 4st 8ci
95,Seafood,Fine Smoked herring,Smoked herring (1 lb) (Fine),Smoked herring (1 lb),Fine,Fine,Artisan,,lb,49.65,21.6,16.2,2.16,0.1,0.1,0.02,19.008,14.58,No,0,No,0.08,3.972,9.93,coastal;riverlands;lake,,No,0,Yes,,0.2,49cp 6st 5ci,49cp 6st 5ci,49.6,49cp 6st,No,No,No,Yes,Yes,0.97,0.92,48.16,45.678,48cp 1st 6ci,45cp 6st 8ci
96,Seafood,High Table Smoked herring,Smoked herring (1 lb) (High Table),Smoked herring (1 lb),High Table,Luxury,Noble,,lb,83.853,30.4,22.8,3.04,0.1,0.1,0.02,26.752,20.52,No,0,No,0.35,29.349,4.192,coastal;riverlands;lake,,No,0,Yes,,0.049992248,83cp 8st 5ci,83cp 8st 5ci,83.9,83cp 9st,No,Yes,No,Yes,Yes,0.96,0.96,80.499,80.499,80cp 5st,80cp 5st
97,Seafood,Low Inn Lobster,Lobster (whole) (Low Inn),Lobster (whole),Low Inn,Staple,Commoner,,each,108,43.2,32.4,4.32,0.1,0.1,0.02,38.016,29.16,No,0,No,0.04,4.32,32.184,coastal,,Yes,2,Yes,Coastal-only fishery,0.298,1si 8cp,1si 8cp,108,1si 8cp,Yes,No,No,No,Yes,0.95,1.17,102.6,126.36,1si 2cp 6st,1si 26cp 3st
98,Seafood,Common Lobster,Lobster (whole) (Common),Lobster (whole),Common,Common,Commoner,,each,120,48,36,4.8,0.1,0.1,0.02,42.24,32.4,No,0,No,0.05,6,34.56,coastal,,Yes,2,Yes,Coastal-only fishery,0.288,1si 20cp,1si 20cp,120,1si 20cp,Yes,No,No,No,Yes,0.95,1.17,114,140.4,1si 14cp,1si 40cp 4st
99,Seafood,Fine Lobster,Lobster (whole) (Fine),Lobster (whole),Fine,Fine,Artisan,,each,162,64.8,48.6,6.48,0.1,0.1,0.02,57.024,43.74,No,0,No,0.08,12.96,41.796,coastal,,Yes,2,Yes,Coastal-only fishery,0.258,1si 62cp,1si 62cp,162,1si 62cp,Yes,No,No,No,Yes,0.95,1.17,153.9,189.54,1si 53cp 9st,1si 89cp 5st
100,Seafood,High Table Lobster,Lobster (whole) (High Table),Lobster (whole),High Table,Luxury,Noble,,each,251.56,91.2,68.4,9.12,0.1,0.1,0.02,80.256,61.56,No,0,No,0.35,88.046,12.578,coastal,,Yes,2,Yes,Coastal-only fishery,0.05,2si 51cp 5st 6ci,2si 51cp 5st,252,2si 52cp,Yes,Yes,No,No,Yes,0.94,1.21,236.466,304.388,2si 36cp 4st,3si 4cp 3st
101,Produce,Low Inn Apples,Apples (dozen) (Low Inn),Apples (dozen),Low Inn,Staple,Commoner,,dozen,8,3.78,2.7,0.324,0.1,0.1,0.02,3.326,2.43,No,0,No,0.04,0.32,1.6,grassland;farmland;hills,,No,0,Yes,,0.2,8cp,8cp,8,8cp,Yes,No,No,No,No,0.95,1.06,7.6,8.48,7cp 6st,8cp 4st 8ci
102,Produce,Common Apples,Apples (dozen) (Common),Apples (dozen),Common,Common,Commoner,,dozen,9.008,4.2,3,0.36,0.1,0.1,0.02,3.696,2.7,No,0,No,0.05,0.45,1.802,grassland;farmland;hills,,No,0,Yes,,0.200044405,9cp 1ci,9cp 1ci,9,9cp,Yes,No,No,No,No,0.95,1.06,8.558,9.548,8cp 5st 6ci,9cp 5st 5ci
103,Produce,Fine Apples,Apples (dozen) (Fine),Apples (dozen),Fine,Fine,Artisan,,dozen,11.729,5.25,3.75,0.45,0.1,0.1,0.02,4.62,3.375,No,0,No,0.08,0.938,2.346,grassland;farmland;hills,,No,0,Yes,,0.200017052,11cp 7st 3ci,11cp 7st 3ci,11.7,11cp 7st,Yes,No,No,No,No,0.95,1.06,11.143,12.433,11cp 1st 4ci,12cp 4st 3ci
104,Produce,High Table Apples,Apples (dozen) (High Table),Apples (dozen),High Table,Luxury,Noble,,dozen,21,7.35,5.25,0.63,0.1,0.1,0.02,6.468,4.725,No,0,No,0.35,7.35,1.827,grassland;farmland;hills,,No,0,Yes,,0.087,21cp,21cp,21,21cp,Yes,Yes,No,No,No,0.94,1.1,19.74,23.1,19cp 7st 4ci,23cp 1st
105,Produce,Low Inn Potatoes,Potatoes (sack) (Low Inn),Potatoes (sack),Low Inn,Staple,Commoner,,sack,26.668,12.6,9,1.08,0.1,0.1,0.02,11.088,8.1,No,0,No,0.04,1.067,5.333,grassland;farmland;hills,,No,0,Yes,,0.199977501,26cp 6st 7ci,26cp 6st 7ci,26.7,26cp 7st,Yes,No,No,No,No,0.95,1.06,25.335,28.268,25cp 3st 4ci,28cp 2st 7ci
106,Produce,Common Potatoes,Potatoes (sack) (Common),Potatoes (sack),Common,Common,Commoner,,sack,30.027,14,10,1.2,0.1,0.1,0.02,12.32,9,No,0,No,0.05,1.501,6.006,grassland;farmland;hills,,No,0,Yes,,0.200019982,30cp 3ci,30cp 3ci,30,30cp,Yes,No,No,No,No,0.95,1.06,28.526,31.829,28cp 5st 3ci,31cp 8st 3ci
107,Produce,Fine Potatoes,Potatoes (sack) (Fine),Potatoes (sack),Fine,Fine,Artisan,,sack,39.097,17.5,12.5,1.5,0.1,0.1,0.02,15.4,11.25,No,0,No,0.08,3.128,7.819,grassland;farmland;hills,,No,0,Yes,,0.199989769,39cp 1st,39cp 1st,39.1,39cp 1st,Yes,No,No,No,No,0.95,1.06,37.142,41.443,37cp 1st 4ci,41cp 4st 4ci
108,Produce,High Table Potatoes,Potatoes (sack) (High Table),Potatoes (sack),High Table,Luxury,Noble,,sack,70,24.5,17.5,2.1,0.1,0.1,0.02,21.56,15.75,No,0,No,0.35,24.5,6.09,grassland;farmland;hills,,No,0,Yes,,0.087,70cp,70cp,70,70cp,Yes,Yes,No,No,No,0.94,1.1,65.8,77,65cp 8st,77cp
109,Produce,Low Inn Onions,Onions (sack) (Low Inn),Onions (sack),Low Inn,Staple,Commoner,,sack,26.668,12.6,9,1.08,0.1,0.1,0.02,11.088,8.1,No,0,No,0.04,1.067,5.333,grassland;farmland;hills,,No,0,Yes,,0.199977501,26cp 6st 7ci,26cp 6st 7ci,26.7,26cp 7st,Yes,No,No,No,No,0.95,1.06,25.335,28.268,25cp 3st 4ci,28cp 2st 7ci
110,Produce,Common Onions,Onions (sack) (Common),Onions (sack),Common,Common,Commoner,,sack,30.027,14,10,1.2,0.1,0.1,0.02,12.32,9,No,0,No,0.05,1.501,6.006,grassland;farmland;hills,,No,0,Yes,,0.200019982,30cp 3ci,30cp 3ci,30,30cp,Yes,No,No,No,No,0.95,1.06,28.526,31.829,28cp 5st 3ci,31cp 8st 3ci
111,Produce,Fine Onions,Onions (sack) (Fine),Onions (sack),Fine,Fine,Artisan,,sack,39.097,17.5,12.5,1.5,0.1,0.1,0.02,15.4,11.25,No,0,No,0.08,3.128,7.819,grassland;farmland;hills,,No,0,Yes,,0.199989769,39cp 1st,39cp 1st,39.1,39cp 1st,Yes,No,No,No,No,0.95,1.06,37.142,41.443,37cp 1st 4ci,41cp 4st 4ci
112,Produce,High Table Onions,Onions (sack) (High Table),Onions (sack),High Table,Luxury,Noble,,sack,70,24.5,17.5,2.1,0.1,0.1,0.02,21.56,15.75,No,0,No,0.35,24.5,6.09,grassland;farmland;hills,,No,0,Yes,,0.087,70cp,70cp,70,70cp,Yes,Yes,No,No,No,0.94,1.1,65.8,77,65cp 8st,77cp
113,Produce,Low Inn Beans,"Beans (dry, 1 lb) (Low Inn)","Beans (dry, 1 lb)",Low Inn,Staple,Commoner,,lb,5.334,2.52,1.8,0.216,0.1,0.1,0.02,2.218,1.62,No,0,No,0.04,0.213,1.067,grassland;farmland;hills,,No,0,Yes,,0.200037495,5cp 3st 3ci,5cp 3st 3ci,5.3,5cp 3st,Yes,No,No,No,No,0.95,1.06,5.067,5.654,5cp 7ci,5cp 6st 5ci
114,Produce,Common Beans,"Beans (dry, 1 lb) (Common)","Beans (dry, 1 lb)",Common,Common,Commoner,,lb,6.005,2.8,2,0.24,0.1,0.1,0.02,2.464,1.8,No,0,No,0.05,0.3,1.201,grassland;farmland;hills,,No,0,Yes,,0.2,6cp,6cp,6,6cp,Yes,No,No,No,No,0.95,1.06,5.705,6.365,5cp 7st,6cp 3st 6ci
115,Produce,Fine Beans,"Beans (dry, 1 lb) (Fine)","Beans (dry, 1 lb)",Fine,Fine,Artisan,,lb,7.819,3.5,2.5,0.3,0.1,0.1,0.02,3.08,2.25,No,0,No,0.08,0.626,1.563,grassland;farmland;hills,,No,0,Yes,,0.199897685,7cp 8st 2ci,7cp 8st 2ci,7.8,7cp 8st,Yes,No,No,No,No,0.95,1.06,7.428,8.288,7cp 4st 3ci,8cp 2st 9ci
116,Produce,High Table Beans,"Beans (dry, 1 lb) (High Table)","Beans (dry, 1 lb)",High Table,Luxury,Noble,,lb,14,4.9,3.5,0.42,0.1,0.1,0.02,4.312,3.15,No,0,No,0.35,4.9,1.218,grassland;farmland;hills,,No,0,Yes,,0.087,14cp,14cp,14,14cp,Yes,Yes,No,No,No,0.94,1.1,13.16,15.4,13cp 1st 6ci,15cp 4st
117,Produce,Low Inn Lentils,Lentils (1 lb) (Low Inn),Lentils (1 lb),Low Inn,Staple,Commoner,,lb,6.667,3.15,2.25,0.27,0.1,0.1,0.02,2.772,2.025,No,0,No,0.04,0.267,1.333,grassland;farmland;hills,,No,0,Yes,,0.199940003,6cp 6st 7ci,6cp 6st 7ci,6.7,6cp 7st,Yes,No,No,No,No,0.95,1.06,6.334,7.067,6cp 3st 3ci,7cp 7ci
118,Produce,Common Lentils,Lentils (1 lb) (Common),Lentils (1 lb),Common,Common,Commoner,,lb,7.507,3.5,2.5,0.3,0.1,0.1,0.02,3.08,2.25,No,0,No,0.05,0.375,1.502,grassland;farmland;hills,,No,0,Yes,,0.200079925,7cp 5st 1ci,7cp 5st 1ci,7.5,7cp 5st,Yes,No,No,No,No,0.95,1.06,7.132,7.957,7cp 1st 3ci,7cp 9st 6ci
119,Produce,Fine Lentils,Lentils (1 lb) (Fine),Lentils (1 lb),Fine,Fine,Artisan,,lb,9.774,4.375,3.125,0.375,0.1,0.1,0.02,3.85,2.812,No,0,No,0.08,0.782,1.955,grassland;farmland;hills,,No,0,Yes,,0.200020462,9cp 7st 7ci,9cp 7st 7ci,9.8,9cp 8st,Yes,No,No,No,No,0.95,1.06,9.285,10.36,9cp 2st 8ci,10cp 3st 6ci
120,Produce,High Table Lentils,Lentils (1 lb) (High Table),Lentils (1 lb),High Table,Luxury,Noble,,lb,17.5,6.125,4.375,0.525,0.1,0.1,0.02,5.39,3.938,No,0,No,0.35,6.125,1.522,grassland;farmland;hills,,No,0,Yes,,0.086971429,17cp 5st,17cp 5st,17.5,17cp 5st,Yes,Yes,No,No,No,0.94,1.1,16.45,19.25,16cp 4st 5ci,19cp 2st 5ci
121,Produce,Low Inn Cabbage,Cabbage (head) (Low Inn),Cabbage (head),Low Inn,Staple,Commoner,,each,4,1.89,1.35,0.162,0.1,0.1,0.02,1.663,1.215,No,0,No,0.04,0.16,0.8,grassland;farmland;hills,,No,0,Yes,,0.2,4cp,4cp,4,4cp,Yes,No,No,No,No,0.95,1.06,3.8,4.24,3cp 8st,4cp 2st 4ci
122,Produce,Common Cabbage,Cabbage (head) (Common),Cabbage (head),Common,Common,Commoner,,each,4.504,2.1,1.5,0.18,0.1,0.1,0.02,1.848,1.35,No,0,No,0.05,0.225,0.901,grassland;farmland;hills,,No,0,Yes,,0.200044405,4cp 5st,4cp 5st,4.5,4cp 5st,Yes,No,No,No,No,0.95,1.06,4.279,4.774,4cp 2st 8ci,4cp 7st 7ci
123,Produce,Fine Cabbage,Cabbage (head) (Fine),Cabbage (head),Fine,Fine,Artisan,,each,5.865,2.625,1.875,0.225,0.1,0.1,0.02,2.31,1.688,No,0,No,0.08,0.469,1.173,grassland;farmland;hills,,No,0,Yes,,0.2,5cp 8st 6ci,5cp 8st 6ci,5.9,5cp 9st,Yes,No,No,No,No,0.95,1.06,5.572,6.217,5cp 5st 7ci,6cp 2st 2ci
124,Produce,High Table Cabbage,Cabbage (head) (High Table),Cabbage (head),High Table,Luxury,Noble,,each,10.5,3.675,2.625,0.315,0.1,0.1,0.02,3.234,2.363,No,0,No,0.35,3.675,0.913,grassland;farmland;hills,,No,0,Yes,,0.086952381,10cp 5st,10cp 5st,10.5,10cp 5st,Yes,Yes,No,No,No,0.94,1.1,9.87,11.55,9cp 8st 7ci,11cp 5st 5ci
125,Produce,Low Inn Oranges,Oranges (dozen) (Low Inn),Oranges (dozen),Low Inn,Staple,Commoner,,dozen,53.337,25.2,18,2.16,0.1,0.1,0.02,22.176,16.2,No,0,No,0.04,2.133,10.668,grassland;farmland;hills,,No,0,Yes,,0.200011249,53cp 3st 4ci,53cp 3st 4ci,53.3,53cp 3st,Yes,No,No,No,No,0.95,1.06,50.67,56.537,50cp 6st 7ci,56cp 5st 4ci
126,Produce,Common Oranges,Oranges (dozen) (Common),Oranges (dozen),Common,Common,Commoner,,dozen,60.053,28,20,2.4,0.1,0.1,0.02,24.64,18,No,0,No,0.05,3.003,12.01,grassland;farmland;hills,,No,0,Yes,,0.199990009,60cp 5ci,60cp 5ci,60.1,60cp 1st,Yes,No,No,No,No,0.95,1.06,57.05,63.656,57cp 5ci,63cp 6st 6ci
127,Produce,Fine Oranges,Oranges (dozen) (Fine),Oranges (dozen),Fine,Fine,Artisan,,dozen,78.194,35,25,3,0.1,0.1,0.02,30.8,22.5,No,0,No,0.08,6.256,15.638,grassland;farmland;hills,,No,0,Yes,,0.199989769,78cp 1st 9ci,78cp 1st 9ci,78.2,78cp 2st,Yes,No,No,No,No,0.95,1.06,74.284,82.886,74cp 2st 8ci,82cp 8st 9ci
128,Produce,High Table Oranges,Oranges (dozen) (High Table),Oranges (dozen),High Table,Luxury,Noble,,dozen,140,49,35,4.2,0.1,0.1,0.02,43.12,31.5,No,0,No,0.35,49,12.18,grassland;farmland;hills,,No,0,Yes,,0.087,1si 40cp,1si 40cp,140,1si 40cp,Yes,Yes,No,No,No,0.94,1.1,131.6,154,1si 31cp 6st,1si 54cp
129,Dairy,Low Inn Milk,Milk (gallon) (Low Inn),Milk (gallon),Low Inn,Staple,Commoner,,gal,4.704,2.16,1.62,0.216,0.1,0.1,0.02,1.901,1.458,No,0,No,0.04,0.188,0.941,grassland;farmland;hills,,No,0,Yes,,0.200042517,4cp 7st,4cp 7st,4.7,4cp 7st,Yes,No,No,No,No,0.95,1.06,4.469,4.986,4cp 4st 7ci,4cp 9st 9ci
130,Dairy,Common Milk,Milk (gallon) (Common),Milk (gallon),Common,Common,Commoner,,gal,5.296,2.4,1.8,0.24,0.1,0.1,0.02,2.112,1.62,No,0,No,0.05,0.265,1.059,grassland;farmland;hills,,No,0,Yes,,0.199962236,5cp 3st,5cp 3st,5.3,5cp 3st,Yes,No,No,No,No,0.95,1.06,5.031,5.614,5cp 3ci,5cp 6st 1ci
131,Dairy,Fine Milk,Milk (gallon) (Fine),Milk (gallon),Fine,Fine,Artisan,,gal,7.172,3.12,2.34,0.312,0.1,0.1,0.02,2.746,2.106,No,0,No,0.08,0.574,1.434,grassland;farmland;hills,,No,0,Yes,,0.199944228,7cp 1st 7ci,7cp 1st 7ci,7.2,7cp 2st,Yes,No,No,No,No,0.95,1.06,6.813,7.602,6cp 8st 1ci,7cp 6st
132,Dairy,High Table Milk,Milk (gallon) (High Table),Milk (gallon),High Table,Luxury,Noble,,gal,11.917,4.32,3.24,0.432,0.1,0.1,0.02,3.802,2.916,No,0,No,0.35,4.171,0.596,grassland;farmland;hills,,No,0,Yes,,0.050012587,11cp 9st 2ci,11cp 9st 2ci,11.9,11cp 9st,Yes,Yes,No,No,No,0.94,1.1,11.202,13.109,11cp 2st,13cp 1st 1ci
